Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Brian O'Connor","ATL","AAA","29-29",17,0.4,,,,,,,,,,,,,,"1009709"
"Willis Otanez","MEX","AAA","33-42",3897,0.3480663,1.15333333,0.22911695,0.41288783,0.35799523,0.18777778,0.16333333,0.43226312,0.24119029,0.32654659,0.1065593,5379,7422,12791,"1009889"
"Dustin Ackley","SEA","AA,AAA","22-30",1852,0.31443689,1.24375,0.18655589,0.45090634,0.36253776,0.18125,0.0625,0.37334315,0.25405007,0.37260677,0.04129217,3216,4461,7677,"10099"
"George Lombard","WSN","AAA,R","30-33",527,0.35548173,1.0952381,0.16981132,0.43396226,0.39622642,0.07936508,0.11111111,0.4,0.23030303,0.36969697,0.13712047,390,631,1021,"101"
"Angel Pena","MEX","AAA","31-31",148,0.35,,,,,,,,,,,,,,"1010141"
"Robert Perez","MEX","AAA","37-40",1652,0.31484375,1.248,0.17433888,0.45837414,0.36728697,0.27466667,0.13333333,0.55258126,0.22179732,0.22562141,0.10014238,1491,2723,4214,"1010186"
"Santiago Perez","MEX","AAA","30-30",135,0.27659574,,,,,,,,,,,,,,"1010187"
"Jeremy Powell","PIT","AAA","33-34",34,0.11764706,13,0.17647059,0.76470588,0.05882353,1,0,0.35,0.4,0.25,0.06896552,38,78,116,"1010490"
"Ryan Vogelsong","PIT","AA,AAA","28-38",25,0.13333333,1.5,0.16666667,0.5,0.33333333,0,0,0.25,0.5,0.25,0.15555556,15,30,45,"1011"
"Anthony Sanders","MEX","AAA","32-32",104,0.27536232,,,,,,,,,,,,,,"1011412"
"Rob Sasser","CHW","AA","31-31",142,0.28735632,,,,,,,,,,,,,,"1011453"
"Darrell Sherman","MEX","AAA","38-38",336,0.38617886,,,,,,,,,,,,,,"1011879"
"Kip Wells","PIT","AA,AAA","29-35",31,0.23076923,1.33333333,0.3,0.4,0.3,0,0,0.25,0.33333333,0.41666667,0.20168067,38,81,119,"1012"
"Juan Sosa","PHI","AA,AAA","30-30",169,0.23966942,,,,,,,,,,,,,,"1012286"
"Dave Williams","NYM","AA,AAA","27-30",16,0.5,1,0,0.5,0.5,0,0,0,0.66666667,0.33333333,0.13793103,19,39,58,"1013"
"Jorge Toca","STL","AAA","31-32",260,0.36138614,1.28571429,0.25581395,0.41860465,0.3255814,0.35714286,0,0.52272727,0.27272727,0.20454545,0.10778443,52,115,167,"1013093"
"Stephen Strasburg","WSN","AA,AAA","21-26",13,0.44444444,6,0.125,0.75,0.125,0,0,0.18181818,0.45454545,0.36363636,0.05,1,19,20,"10131"
"Mario Valdez","MEX","AAA","31-39",2021,0.34982079,0.87058824,0.19966443,0.37248322,0.42785235,0.20980392,0.1,0.50411862,0.21581549,0.2800659,0.06497545,2548,3562,6110,"1013314"
"Pedro Valdes","MEX","AAA","33-38",2003,0.3363764,1.11502347,0.21241259,0.41520979,0.37237762,0.1713615,0.13849765,0.44935065,0.23290043,0.31774892,0.03434631,2879,3439,6318,"1013315"
"Guillermo Velasquez","MEX","AAA","38-39",608,0.25116279,0.9375,0.14678899,0.41284404,0.44036697,0.17708333,0.04166667,0.38812785,0.23744292,0.37442922,0.11806798,429,689,1118,"1013396"
"Wilton Veras","MEX","AAA","30-30",187,0.34146341,2.24390244,0.17391304,0.57142857,0.25465839,0.34146341,0.04878049,0.51807229,0.1626506,0.31927711,0.04,218,357,575,"1013405"
"Derrick White","MEX","AAA","36-39",1528,0.37677054,1.87966805,0.21046644,0.51535836,0.2741752,0.19917012,0.21161826,0.47019123,0.22272216,0.30708661,0.09207101,1814,2411,4225,"1013863"
"Julio Zuleta","MEX","AAA","34-34",149,0.28888889,1.625,0.07692308,0.57142857,0.35164835,0.125,0.15625,0.54166667,0.20833333,0.25,0.1617357,197,310,507,"1014462"
"Craig Wilson","CHW","AAA","30-31",527,0.3024055,0.95275591,0.19480519,0.39285714,0.41233766,0.20472441,0.18110236,0.53015873,0.23492063,0.23492063,0.13519092,748,1190,1938,"1015"
"Donald Lutz","CIN","A,A+,AA,AAA,R","19-28",2277,0.32616239,1.14721724,0.1875,0.43410326,0.37839674,0.20466786,0.12926391,0.45586298,0.23517787,0.30895916,0.21229143,1859,4194,6053,"10154"
"Mike Trout","LAA","A,A+,AA,AAA,R","17-25",1328,0.40111111,1.0359116,0.18111111,0.41666667,0.40222222,0.20441989,0.06353591,0.42077088,0.26766595,0.31156317,0.10978044,1255,2252,3507,"10155"
"Ryan Weber","ATL","AA,AAA","23-30",34,0.15789474,3.25,0.05555556,0.72222222,0.22222222,0.25,0,0.52380952,0.23809524,0.23809524,0.06382979,43,98,141,"10160"
"Nick Franklin","SEA","A,A-,A+,AA,AAA,R","18-28",3126,0.32764505,0.92132269,0.19952494,0.38384798,0.41662708,0.13797035,0.09464082,0.46780917,0.2603057,0.27188513,0.14326618,3591,6188,9779,"10166"
"Jack Wilson","PIT","AA,AAA","30-34",152,0.27868852,0.9245283,0.15702479,0.40495868,0.43801653,0.32075472,0.01886792,0.44354839,0.26612903,0.29032258,0.0944206,156,310,466,"1017"
"Edgar Olmos","MIA","AA,AAA","22-24",10,0,1,0,1,0,0,0,1,0,0,0.17777778,18,27,45,"10174"
"Jacob Turner","MIA","AA,AAA","21-27",21,0.45454545,0.8,0.18181818,0.36363636,0.45454545,0.2,0,0.25,0.16666667,0.58333333,0.07894737,23,53,76,"10185"
"Kevin Barker","TOR","AAA","30-35",2690,0.32147094,0.9877193,0.19872702,0.39816124,0.40311174,0.14385965,0.14912281,0.43286713,0.25314685,0.31398601,0.08975751,3470,4819,8289,"1019"
"Tyler Skaggs","ARI","AA,AAA","19-21",70,0.21428571,1.875,0.14814815,0.55555556,0.2962963,0.5,0,0.13333333,0.16666667,0.7,0.17910448,82,186,268,"10190"
"Shelby Miller","STL","AA,AAA","20-30",65,0.20833333,1.33333333,0.08695652,0.52173913,0.39130435,0.33333333,0,0.28571429,0.42857143,0.28571429,0.18297872,75,160,235,"10197"
"Billy Hamilton","CIN","A,A+,AA,AAA,R","18-32",2512,0.34721408,1.28476821,0.17216557,0.4655069,0.36232753,0.26655629,0.02317881,0.39446367,0.26124567,0.34429066,0.17719592,2058,4511,6569,"10199"
"Tucker Barnhart","CIN","A,A+,AA,AAA,R","18-32",1666,0.30632911,1.35532995,0.21088435,0.45408163,0.33503401,0.16497462,0.03299492,0.43996711,0.24177632,0.31825658,0.11898904,1623,2848,4471,"10200"
"Sean Burroughs","TBD","AA,AAA","25-32",704,0.30442804,1.74045802,0.1784897,0.52173913,0.29977117,0.15267176,0.02290076,0.421875,0.203125,0.375,0.06035732,766,1305,2071,"1021"
"Aaron Northcraft","ATL","AA,AAA","23-31",70,0.20588235,5,0.09090909,0.75757576,0.15151515,0,0,0.31578947,0.34210526,0.34210526,0.13284133,84,187,271,"10218"
"Jose Iglesias","BOS","A-,AA,AAA","20-33",1360,0.30501931,2.01075269,0.17727718,0.54946131,0.27326151,0.25448029,0.03942652,0.41862653,0.23142051,0.34995296,0.08819412,1324,2962,4286,"10231"
"Aroldis Chapman","CIN","AA,AAA","22-23",11,0.8,4,0.2,0.8,0,0,0,0,0,1,0.16326531,13,36,49,"10233"
"Bryan Morris","PIT","A+,AA,AAA","23-30",30,0.30769231,2,0.30769231,0.46153846,0.23076923,0.33333333,0,0.375,0.25,0.375,0.29487179,15,63,78,"10234"
"Cesar Crespo","ATL","AAA","27-28",879,0.29042904,1.76829268,0.15298507,0.54104478,0.30597015,0.24390244,0.03658537,0.46785714,0.26071429,0.27142857,0.06666667,561,849,1410,"1024"
"Ariel Pena","MIL","AA,AAA","23-27",80,0.04,6.66666667,0.04166667,0.83333333,0.125,0.66666667,0,0.22580645,0.41935484,0.35483871,0.1503268,83,223,306,"10240"
"Randal Grichuk","LAA","A,A+,AA,AAA,R","17-31",2552,0.31112366,0.83152828,0.16235553,0.38029719,0.45734728,0.22141998,0.12154031,0.48668797,0.25239617,0.26091587,0.16264893,2115,5103,7218,"10243"
"Andy Oliver","PIT","AAA","25-29",19,0.16666667,1.5,0.09090909,0.54545455,0.36363636,0,0,0.25,0,0.75,0.13559322,17,42,59,"10257"
"Alexi Ogando","TEX","AAA,R","22-32",20,0.33333333,,,,,,,,,,,,,,"10261"
"Brandon Belt","SFG","A+,AA,AAA","22-33",873,0.40112994,0.79310345,0.25846702,0.32798574,0.41354724,0.07327586,0.14655172,0.42477876,0.2619469,0.31327434,0.14635158,1019,1393,2412,"10264"
"Justin Marks","ARI","AAA","27-29",36,0.1875,14,0.0625,0.875,0.0625,0,0,0.16666667,0.33333333,0.5,0.10743802,36,85,121,"10265"
"Francisco Arcia","NYY","A,A-,A+,AA,AAA,R","17-33",2512,0.28643216,1.44648829,0.18130946,0.48405148,0.33463906,0.20401338,0.04347826,0.45087336,0.24126638,0.30786026,0.1154161,2434,4896,7330,"10286"
"Hector Sanchez","SFG","A,A+,AAA,R","17-28",1926,0.3202952,1.05893186,0.18985507,0.41666667,0.39347826,0.16574586,0.09576427,0.48514851,0.24257426,0.27227723,0.15124847,1680,3206,4886,"10289"
"Adam Eaton","PHI","AA,AAA","30-31",22,0,4.5,0.08333333,0.75,0.16666667,0.5,0,0.5,0.35714286,0.14285714,0.16176471,16,52,68,"1029"
"Adrian Nieto","WSN","A,A-,A+,AA,AAA,R","18-29",2180,0.2993445,1.41900648,0.18248175,0.47956204,0.3379562,0.19654428,0.08207343,0.43653032,0.24047955,0.32299013,0.16754104,2115,3794,5909,"10294"
"Eury Perez","WSN","A,A+,AA,AAA,R","17-29",3988,0.35606315,2.14580645,0.16219931,0.57147766,0.26632302,0.24,0.03483871,0.37873862,0.27048114,0.35078023,0.12592732,3137,7512,10649,"10299"
"Chris Heston","SFG","AA,AAA","24-29",105,0.21818182,2.58333333,0.17307692,0.59615385,0.23076923,0.25,0,0.3968254,0.3015873,0.3015873,0.221875,65,255,320,"10302"
"Jarred Cosart","HOU","AA,AAA","21-26",27,0.13333333,14,0.06666667,0.93333333,0,0,0,0.29411765,0.41176471,0.29411765,0.1097561,16,66,82,"10304"
"Oswaldo Arcia","MIN","A,A+,AA,AAA,R","17-28",2862,0.3431533,0.900978,0.18756531,0.38505747,0.42737722,0.14425428,0.14669927,0.42391858,0.27124682,0.30483461,0.16191589,2976,5584,8560,"10306"
"Zack Wheeler","NYM","AA,AAA","22-28",37,0.5,4.5,0.08333333,0.75,0.16666667,0,0,0.29411765,0.29411765,0.41176471,0.13636364,41,91,132,"10310"
"Danny Ortiz","MIN","A,A+,AA,AAA,R","18-29",4827,0.29373903,0.78476421,0.16350241,0.36780958,0.46868801,0.21100363,0.09854897,0.47885364,0.25626043,0.26488592,0.14038834,4708,10279,14987,"10317"
"Danny Santana","MIN","A,A+,AA,AAA,CPX,R","17-31",3039,0.33226398,1.37823834,0.15469613,0.48987109,0.35543278,0.18264249,0.06606218,0.43424537,0.25110327,0.31465137,0.18602179,1966,5560,7526,"10322"
"Rafael Ortega","COL","A,A+,AA,AAA,R","17-32",5085,0.32464391,1.22477745,0.19403386,0.44369793,0.36226821,0.24035608,0.06008902,0.4379068,0.24420724,0.31788597,0.09084439,5407,10048,15455,"10323"
"Marcell Ozuna","FLA","A,A-,A+,AA,AAA,R","17-28",2124,0.32446415,0.90514469,0.15538133,0.40128297,0.44333571,0.18971061,0.14630225,0.47799175,0.24965612,0.27235213,0.28877005,1074,3227,4301,"10324"
"Ramon Cabrera","PIT","A,A+,AA,AAA,R","18-27",3261,0.30988667,1.76133333,0.18239242,0.52151599,0.29609159,0.18266667,0.036,0.41743472,0.23694316,0.34562212,0.08096561,3275,6087,9362,"10327"
"Rey Fuentes","BOS","A,A+,AA,AAA,R","18-27",3802,0.34742506,1.9372442,0.16968762,0.54762823,0.28268415,0.20327422,0.05593452,0.43571693,0.2534272,0.31085587,0.12702772,3986,7665,11651,"10329"
"Wiki Gonzalez","WSN","AAA","32-33",352,0.25806452,1.24691358,0.14553991,0.4741784,0.38028169,0.34567901,0.12345679,0.45581395,0.22790698,0.31627907,0.07019563,310,559,869,"1033"
"Slade Heathcott","NYY","A,A+,AA,AAA,R","18-27",2475,0.35394737,1.29291045,0.19673203,0.45294118,0.3503268,0.15671642,0.07649254,0.42395437,0.27376426,0.30228137,0.1743083,2575,5015,7590,"10336"
"Edwin Escobar","SFG","AA,AAA","21-24",48,0.31034483,11,0.14285714,0.78571429,0.07142857,0,0,0.5,0.2,0.3,0.16891892,30,118,148,"10337"
"Scooter Gennett","MIL","A,A+,AA,AAA","20-29",2178,0.33490845,1.12130638,0.18761167,0.42942228,0.38296605,0.17107309,0.04354588,0.38032221,0.22899885,0.39067894,0.1206307,1525,3739,5264,"10339"
"Gift Ngoepe","PIT","A,A-,A+,AA,AAA,R","19-29",3358,0.31770285,1.30367232,0.13794926,0.48784355,0.37420719,0.24717514,0.07062147,0.43571786,0.26063032,0.30365183,0.14264591,4298,7199,11497,"10340"
"John Ryan Murphy","NYY","A,A+,AA,AAA,R","18-28",2674,0.28705148,0.8699187,0.17435897,0.38410256,0.44153846,0.21718931,0.07084785,0.46455505,0.25641026,0.27903469,0.12272081,2687,5046,7733,"10346"
"Mike Ohlman","BAL","A,A+,AA,AAA,R","18-27",3169,0.32067727,1.15862069,0.20193779,0.42835288,0.36970933,0.16137931,0.08965517,0.44762846,0.25197628,0.30039526,0.13042645,3959,6476,10435,"10347"
"Domingo Santana","PHI","A,A-,A+,AA,AAA,R","16-25",3226,0.38675958,1.37953795,0.1935123,0.46756152,0.33892617,0.09570957,0.19471947,0.45257453,0.23739837,0.3100271,0.20462405,3582,6539,10121,"10348"
"Tommy Joseph","SFG","A,A+,AA,AAA,R","18-27",2489,0.2931136,0.83944374,0.16857143,0.37942857,0.452,0.20606827,0.11504425,0.47101449,0.24470457,0.28428094,0.17347393,1974,4759,6733,"10349"
"Robbie Erlin","SDP","AA,AAA","20-28",57,0.26666667,7,0.17241379,0.72413793,0.10344828,1,0,0.27777778,0.27777778,0.44444444,0.07936508,62,127,189,"10354"
"Kevin Jarvis","ARI","AAA","36-36",19,0.18181818,,,,,,,,,,,,,,"1037"
"D'Angelo Jimenez","OAK","AAA","28-34",2036,0.31821354,1.04789272,0.20283371,0.40790455,0.38926174,0.22796935,0.07471264,0.53896577,0.22869629,0.23233795,0.03858608,3301,4111,7412,"1038"
"Carlos Contreras","CIN","AA,AAA","22-24",15,0.375,4,0.16666667,0.66666667,0.16666667,0,0,0.5,0.3,0.2,0.17647059,11,40,51,"10386"
"Daniel Fields","DET","A,A+,AA,AAA,R","19-25",2906,0.32630979,0.99157303,0.1947757,0.40090857,0.40431573,0.13483146,0.06179775,0.45489762,0.23796348,0.3071389,0.18305888,3160,5706,8866,"10390"
"Ryan Klesko","SDP","A+","35-35",27,0.35294118,,,,,,,,,,,,,,"1041"
"Wilfredo Tovar","NYM","A,A-,A+,AA,AAA,R","16-29",4997,0.29684741,1.2769986,0.1687148,0.46620584,0.36507937,0.27349229,0.0259467,0.43838334,0.22737416,0.3342425,0.0781739,4906,9792,14698,"10416"
"Mark Kotsay","OAK","A+,AA,AAA","31-36",101,0.29885057,1.73076923,0.1744186,0.52325581,0.30232558,0.23076923,0,0.40909091,0.18181818,0.40909091,0.06862745,117,189,306,"1042"
"Mychal Givens","BAL","A,A-,A+,AA,AAA,R","20-31",1043,0.28165375,1.70940171,0.16137566,0.52910053,0.30952381,0.22649573,0.02564103,0.39696587,0.23893805,0.36409608,0.19437799,445,1227,1672,"10430"
"Jon Singleton","PHI","A,A+,AA,AAA,R","17-31",4654,0.30459992,0.87574979,0.1972864,0.37477081,0.42794279,0.18680377,0.15509854,0.42650776,0.25749368,0.31599856,0.12058018,7268,9899,17167,"10441"
"Brian Lawrence","COL","AAA","31-34",88,0.22033898,2.84615385,0.05660377,0.69811321,0.24528302,0.30769231,0,0.41791045,0.35820896,0.2238806,0.10040161,63,186,249,"1045"
"Adeiny Hechavarria","TOR","A+,AA,AAA","21-34",1856,0.31451036,1.47450111,0.19422383,0.4801444,0.32563177,0.19068736,0.05321508,0.44125874,0.23426573,0.32447552,0.13500318,1378,3333,4711,"10459"
"Taylor Jordan","WSN","AA,AAA","24-27",26,0.2,2,0.1,0.6,0.3,0.33333333,0,0.15384615,0.30769231,0.53846154,0.14102564,19,59,78,"10466"
"Donaldo Mendez","MIN","AAA","28-28",31,0.3125,,,,,,,,,,,,,,"1047"
"Enrique Hernandez","HOU","A,A-,A+,AA,AAA,R","17-30",2263,0.29425287,1.19699248,0.16370922,0.45563824,0.38065255,0.18195489,0.06015038,0.44963829,0.23539232,0.31496939,0.11292494,1892,4050,5942,"10472"
"Cheslor Cuthbert","KCR","A,A+,AA,AAA,R","17-28",3213,0.29474149,1.09395248,0.15658982,0.44062636,0.40278382,0.20950324,0.09179266,0.4502551,0.23511905,0.31462585,0.13042588,3489,6279,9768,"10473"
"Jason Marquis","WSN","AA,AAA","31-35",14,0.22222222,8,0,1,0,0,0,0.33333333,0.22222222,0.44444444,0.08333333,9,27,36,"105"
"Danny Dorn","CIN","A+,AA,AAA,R","21-30",4010,0.33399288,0.67914894,0.20443548,0.32177419,0.47379032,0.15489362,0.12595745,0.49721781,0.25238474,0.25039746,0.16461897,4358,8095,12453,"1050"
"Mario Hollands","PHI","AA,AAA","23-28",16,0.2,8,0.1,0.8,0.1,0,0,0.5,0.1,0.4,0.05714286,24,46,70,"10504"
"Drew Hayes","CIN","AA,AAA","24-28",23,0.2,3,0.11111111,0.66666667,0.22222222,0,0,0.4,0.6,0,0.16,24,51,75,"10528"
"Rocky Gale","SDP","A,A-,A+,AA,AAA","22-33",2783,0.30345472,2.04812834,0.19567262,0.54045155,0.26387582,0.18538324,0.03030303,0.40622141,0.20585544,0.38792315,0.0933956,2720,6274,8994,"10533"
"Dennis Tankersley","STL","AAA","27-29",57,0.14285714,1.33333333,0.125,0.5,0.375,0.66666667,0,0.6,0.4,0,0.15254237,17,42,59,"1054"
"Derek Dietrich","TBR","A,A-,A+,AA,AAA","20-32",2456,0.3201076,0.80747126,0.18364698,0.36469825,0.45165477,0.26436782,0.11925287,0.45949367,0.25,0.29050633,0.17627887,2327,4730,7057,"10542"
"Jimmy Nelson","MIL","AA,AAA","23-30",73,0.04545455,3.75,0.13636364,0.68181818,0.18181818,0.25,0,0.13043478,0.2173913,0.65217391,0.16993464,84,222,306,"10547"
"Cesar Hernandez","PHI","A-,A+,AA,AAA,R","17-33",2854,0.34327652,2.08014572,0.17872754,0.55463817,0.26663429,0.1129326,0.02550091,0.40856212,0.24290368,0.3485342,0.11850758,2466,4985,7451,"10556"
"Brett Tomko","LAD","AA,AAA","33-41",24,0.0625,1.8,0.06666667,0.6,0.33333333,0.2,0,0.6875,0.25,0.0625,0.09333333,25,50,75,"1056"
"Bubba Trammell","BAL","A-","35-35",30,0.21052632,1,0.22222222,0.38888889,0.38888889,0.57142857,0,0.63157895,0.21052632,0.15789474,0.47058824,5,46,51,"1057"
"Ramon Vazquez","CLE","AAA","29-34",760,0.30975143,1.64661654,0.20720721,0.49324324,0.29954955,0.21804511,0.03007519,0.39782609,0.22173913,0.38043478,0.04796905,1056,1529,2585,"1058"
"Rico Noel","SDP","A,A-,A+,AA,AAA,R","21-30",2793,0.32633904,1.85305344,0.15632054,0.5479684,0.29571106,0.21183206,0.01717557,0.44055944,0.23722431,0.32221625,0.13267571,2750,5360,8110,"10585"
"Chad Bettis","COL","AA,AAA","24-29",31,0.21052632,3.66666667,0.26315789,0.57894737,0.15789474,0,0,0.10526316,0.26315789,0.63157895,0.05128205,48,69,117,"10587"
